,isbn,title,author,avg_rating,count_rating,count_reviews,date_published,top_genre,genre1,genre2,genre3
5017,9780425284681,Before We Were Yours,Lisa Wingate,4.39,546712.0,41284.0,2017-06-06,"Historical Fiction, Fiction, Audiobook, Historical, Book Club, Adult, Adult Fiction",Historical Fiction,Fiction,Audiobook
5018,9780451490131,Shadow Keeper,Christine Feehan,4.25,5738.0,463.0,2018-05-29,"Paranormal, Romance, Paranormal Romance, Fantasy, Contemporary, Suspense, Urban Fantasy",Paranormal,Romance,Paranormal Romance
5019,9780735218741,,,,,,,,,,
5020,9780062654205,The Alice Network,Kate Quinn,4.31,428246.0,31002.0,2017-06-06,"Historical Fiction, Fiction, Historical, Audiobook, World War II, War, Adult",Historical Fiction,Fiction,Historical
5021,9780062692405,Too Wilde to Wed,Eloisa James,3.87,7532.0,799.0,2018-05-29,"Romance, Historical Romance, Historical, Historical Fiction, Fiction, Regency, Adult",Romance,Historical Romance,Historical
5022,9780316412261,The 17th Suspect,James Patterson,3.99,32301.0,1865.0,2018-04-30,"Mystery, Fiction, Thriller, Crime, Audiobook, Mystery Thriller, Suspense",Mystery,Fiction,Thriller
5023,9781451687651,To the Moon and Back,Karen Kingsbury,4.23,5430.0,411.0,2018-05-29,"Christian Fiction, Fiction, Christian, Romance, Adult, Audiobook, Contemporary",Christian Fiction,Fiction,Christian
5024,9781420143201,Beyond Control,Kat Martin,4.17,1843.0,200.0,2018-05-29,"Romantic Suspense, Romance, Suspense, Contemporary Romance, Contemporary, Mystery, Fiction",Romantic Suspense,Romance,Suspense
5025,9781476789408,Use of Force,Brad Thor,4.21,12279.0,744.0,2017-06-27,"Thriller, Fiction, Spy Thriller, Audiobook, Action, Mystery Thriller, Espionage",Thriller,Fiction,Spy Thriller
5026,9781488031458,Fade to Black,Heather Graham,4.12,2297.0,165.0,2018-05-29,"Paranormal, Mystery, Romance, Paranormal Romance, Fiction, Ghosts, Romantic Suspense",Paranormal,Mystery,Romance
5027,9781501193316,Beach House Reunion,Mary Alice Monroe,4.12,8208.0,859.0,2018-05-22,"Fiction, Romance, Chick Lit, Southern, Womens Fiction, Audiobook, Contemporary",Fiction,Romance,Chick Lit
5028,9781101884034,The Cast,Danielle Steel,4.02,7461.0,533.0,2018-05-15,"Fiction, Romance, Contemporary, Audiobook, Adult, Chick Lit, Adult Fiction",Fiction,Romance,Contemporary
5029,9781942215806,,,,,,,,,,
5030,9781943796106,Rogue Royalty,Meghan March,4.29,10362.0,874.0,2018-05-22,"Romance, Contemporary Romance, Contemporary, Erotica, Erotic Romance, Audiobook, Dark",Romance,Contemporary Romance,Contemporary
5031,9780425284698,Before We Were Yours,Lisa Wingate,4.39,546712.0,41284.0,2017-06-06,"Historical Fiction, Fiction, Audiobook, Historical, Book Club, Adult, Adult Fiction",Historical Fiction,Fiction,Audiobook
5032,9780735217362,Twisted Prey,John Sandford,4.37,21999.0,1592.0,2018-04-24,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Audiobook",Mystery,Fiction,Thriller
5033,9780525505310,The Couple Next Door,Shari Lapena,3.81,519431.0,35350.0,2016-07-14,"Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Audiobook, Crime",Thriller,Mystery,Fiction
5034,9781250165619,The Great Alone,Kristin Hannah,4.4,650852.0,58310.0,2018-02-06,"Fiction, Historical Fiction, Audiobook, Historical, Romance, Adult, Adult Fiction",Fiction,Historical Fiction,Audiobook
5035,9780062390820,By Invitation Only,Dorothea Benton Frank,3.84,15382.0,1448.0,2018-05-15,"Fiction, Romance, Chick Lit, Audiobook, Contemporary, Southern, Adult Fiction",Fiction,Romance,Chick Lit
5036,9781250126092,The High Tide Club,Mary Kay Andrews,4.03,25684.0,2682.0,2018-05-08,"Fiction, Mystery, Chick Lit, Audiobook, Romance, Contemporary, Womens Fiction",Fiction,Mystery,Chick Lit
5037,9781101884041,The Cast,Danielle Steel,4.02,7461.0,533.0,2018-05-15,"Fiction, Romance, Contemporary, Audiobook, Adult, Chick Lit, Adult Fiction",Fiction,Romance,Contemporary
5038,9780062390837,By Invitation Only,Dorothea Benton Frank,3.84,15382.0,1448.0,2018-05-15,"Fiction, Romance, Chick Lit, Audiobook, Contemporary, Southern, Adult Fiction",Fiction,Romance,Chick Lit
5039,9781538714454,Private Princess,James Patterson,3.85,7325.0,509.0,2018-05-03,"Mystery, Fiction, Thriller, Mystery Thriller, Crime, Suspense, Adult Fiction",Mystery,Fiction,Thriller
5040,9781250126061,The High Tide Club,Mary Kay Andrews,4.03,25684.0,2682.0,2018-05-08,"Fiction, Mystery, Chick Lit, Audiobook, Romance, Contemporary, Womens Fiction",Fiction,Mystery,Chick Lit
